user,first_social_sign,number_of_swaps,swaps_category,swapped_before_social,number_stake_actions,current_stake_raw,current_stake,stake_category,staked_before_social,defi_category
kdot.near,2023-03-14 00:00:00.000,39,11-50 SWAPS,YES,7,-4.102276158,0.0,NO STAKE,YES,DEFI MASTER
nourbeh.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
longphu.near,2022-11-03 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,2,95.0,95.0,0-100 STAKED,YES,ONLY STAKED
sid143.near,2023-03-05 00:00:00.000,4,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
bonaven.near,2023-02-24 00:00:00.000,5,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
alstontedessco8.near,2023-03-11 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
ozlems.near,2023-03-11 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
tepixelabs.near,2023-01-16 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
auroracn.near,2023-02-14 00:00:00.000,6,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
danaat.near,2023-02-18 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
gengiss.near,2023-02-27 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
bozho.near,2022-10-06 00:00:00.000,24,11-50 SWAPS,YES,3,-1.669207756,0.0,NO STAKE,YES,DEFI MASTER
krishnaneo.near,2023-02-02 00:00:00.000,6,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
partners.learnclub.near,2022-10-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
