user,first_social_sign,number_of_swaps,swaps_category,swapped_before_social,number_stake_actions,current_stake_raw,current_stake,stake_category,staked_before_social,defi_category
dirham.near,2022-12-15 00:00:00.000,15,11-50 SWAPS,YES,10,-0.2269110018,0.0,NO STAKE,YES,DEFI MASTER
ninomix1.near,2022-11-14 00:00:00.000,4,1-10 SWAPS,NO,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
bitkhabar1.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,2,0.03,0.03,0-100 STAKED,YES,ONLY STAKED
towanda.near,2023-01-30 00:00:00.000,21,11-50 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
legendking1.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,2,-0.0007054112673,0.0,NO STAKE,YES,ONLY STAKED
emmytoaster.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,2,0.6269880627,0.6269880627,0-100 STAKED,YES,ONLY STAKED
e1c8ff85b8df3d65a1ad3ebc5c554ffe81cba5767850b9e6807e0e00819977bc,2023-02-18 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
alice.bo.near,2023-01-13 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
firstindra.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
thiccy.near,2023-03-13 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
vail.near,2022-11-11 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
boiler4444.near,2023-03-12 00:00:00.000,188,+50 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
421cca1d531b968d38f2da74c5cb471f27bb462aa9b2cca147281ee5b1c37996,2023-03-08 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
983dcdc8e0d80d1f8938118161e1ec08be6557809afccd5ec396354f28a2ce78,2022-03-04 00:00:00.000,42,11-50 SWAPS,YES,29,1766.600837408,1766.600837408,+100 STAKED,YES,DEFI MASTER
e21fd95c80c6402313ef2b6dc1b7490d2af36d0b9a59c4044b978e958883cafb,2023-02-08 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
investiq.near,2022-10-14 00:00:00.000,95,+50 SWAPS,YES,4,-0.4088488884,0.0,NO STAKE,YES,DEFI MASTER
hridoy23_m23.crowdforces.near,2023-03-08 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
bofbaba.near,2023-03-04 00:00:00.000,2,1-10 SWAPS,YES,1,0.5,0.5,0-100 STAKED,YES,DEFI MASTER
0xcabrera.near,2023-03-09 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
mostakh97.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
ashik620.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
f95b3bd748eb52cad97f3349de5438eb53bf87d593e22dc1f210291253d8f2ed,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,2,0.0,0.0,NO STAKE,YES,ONLY STAKED
812e38c69508256021b2ac20150f3c72bc7374eaaf8270bd7baf43b439253da0,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
wakwekwok.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
uttam455.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
thecryptobeasty.near,2023-03-04 00:00:00.000,9,1-10 SWAPS,YES,3,-1.008277308,0.0,NO STAKE,YES,DEFI MASTER
cavenaghi.near,2022-11-01 00:00:00.000,45,11-50 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
33c4a3cbc3beec7578b796168673e9e038fefdab69b7a2d4d99742e250a8b1c6,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
90ebc31560b1de7918b0725d8fbb805f87ae6e7807ff0d918e2c735b295b2cb2,2023-03-13 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
shienagustin.near,2023-02-07 00:00:00.000,1,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
kabachokk.near,2023-02-27 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
danghuy.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
baharali501.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
jstubler.near,2023-02-10 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
martist29.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
aiovo.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,6,8.454945607,8.454945607,0-100 STAKED,YES,ONLY STAKED
robertyan.near,2022-02-28 00:00:00.000,1,1-10 SWAPS,YES,2,1.5,1.5,0-100 STAKED,YES,DEFI MASTER
sieucaro.near,2023-03-06 00:00:00.000,8,1-10 SWAPS,YES,5,-0.3802511738,0.0,NO STAKE,YES,DEFI MASTER
stianforland.near,2022-12-31 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
tooisme.near,2023-03-06 00:00:00.000,1,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
emmaniel.near,2023-01-28 00:00:00.000,6,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
zalindra.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
anabell25.near,2023-02-09 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
73c10af103020546cd97da40503b1f819a1d68722f99e670ca127e1c2645f1a5,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
bollec.near,2023-03-03 00:00:00.000,8,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
henryade.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
greenghost.near,2022-12-09 00:00:00.000,5,1-10 SWAPS,NO,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
a679fcd7142b56005b7f490baf9e94bf983dbb041719d5d4fbe24bfe76a1bb96,2023-02-25 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
a147c081bf5b46dd3891dcd759d875190590a789e998cb5f153d364759fa778b,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
evrard-nil.near,2023-01-25 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
lobrigasssm.near,2023-03-04 00:00:00.000,4,1-10 SWAPS,YES,15,0.02399381727,0.02399381727,0-100 STAKED,YES,DEFI MASTER
georzhynskyi.near,2023-02-20 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,6,49.909966474,49.909966474,0-100 STAKED,YES,ONLY STAKED
kanrublev.near,2023-01-02 00:00:00.000,264,+50 SWAPS,YES,70,125.731397212,125.731397212,+100 STAKED,YES,DEFI MASTER
carlamarinbosch.near,2023-03-08 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
0f8be682d397e8d3fdb1f56d9f2c4fb7550848675244f0a60dc0c9bd480c55b9,2023-03-13 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,2,14.211718589,14.211718589,0-100 STAKED,YES,ONLY STAKED
whynr.near,2023-03-05 00:00:00.000,1,1-10 SWAPS,YES,2,-0.007299727001,0.0,NO STAKE,YES,DEFI MASTER
patrish.near,2023-02-24 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
jaiyeoba15.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
8ca8f6121bc3bfe311bf758b8636dce165422daee77f22bbfcf6ebd5a52f99b6,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
woben.near,2022-12-09 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
spurg.near,2023-03-07 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
8285d53ac9bffacc1b5a18336608bc33f43c1b94ae9e5f4940da27f9efc12ca1,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
andriantod.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
e1723f77e677800ac6650427747de0db406d3a54838d029a6ad55ae0e6d177fb,2023-02-09 00:00:00.000,1,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
litecrypt.near,2022-11-29 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
thebos.near,2023-02-24 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
henui91.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
ninjaop.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
cuteboyak.near,2023-03-11 00:00:00.000,2,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
donny.near,2022-11-04 00:00:00.000,2,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
6a6c806c659d013ac7c9bc2802a7b4f8e2f88f86ace8442624a7b43362cf433c,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
yasiroto.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
neardevgov.near,2023-01-17 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
metaworld.near,2022-03-07 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
royalnawab91.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
mrcheese.near,2022-11-12 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,4,5.7,5.7,0-100 STAKED,NO,ONLY STAKED
77fb7628bd7d12561bf56cd6047745803aed390be43905b80128462ea6a8f911,2023-03-04 00:00:00.000,1,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
sudofour.near,2023-02-23 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
8309554790bf6f6216c46898d1a141fb29801fcd906d7a8479160482110cf9c9,2023-02-26 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
reveage.near,2023-02-23 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
d38e1e49aa990bf1261ab0163fbf8f398f32c2b171fa0ddaaf34640113f97b2d,2023-02-07 00:00:00.000,2,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
cryptofilya.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
kiranp213.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
isabeefra.near,2023-03-10 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
a3e875952ee0f9968dc1cdb9df39f076a6635232b31e0a88f4a0d95eb6c0530a,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
2e1f1577a4dd479d411d05d9f55e7df886c17d89916b83a742664a1abb7cc8a4,2022-12-08 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,28,693.438516734,693.438516734,+100 STAKED,YES,ONLY STAKED
klaus.near,2022-11-23 00:00:00.000,1,1-10 SWAPS,NO,11,-1818.219016464,0.0,NO STAKE,YES,DEFI MASTER
zhasik.near,2023-02-10 00:00:00.000,3,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
zjunior.near,2022-11-14 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
joshabi29.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
ade08fe88a1697b88fe2134089b2f14e56a6737533f05414ed61b7424dbd69e1,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
tothony.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
dimaz.near,2023-03-04 00:00:00.000,7,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
thenest.near,2022-12-07 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
411a6689bda8aba25d5bcfd1fd9890641e1271436bd0baa4ae59ea28b136a467,2023-03-03 00:00:00.000,2,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
kiky17.near,2023-03-05 00:00:00.000,20,11-50 SWAPS,YES,1,0.06,0.06,0-100 STAKED,YES,DEFI MASTER
oddio3.near,2022-12-24 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
locktest1.near,2022-10-17 00:00:00.000,4,1-10 SWAPS,NO,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
65466.near,2023-03-11 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
bimbimm.near,2023-03-11 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
dabbie3229.near,2022-11-18 00:00:00.000,10,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
susanos.near,2022-11-14 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,1,3.38544,3.38544,0-100 STAKED,NO,ONLY STAKED
jbryce.near,2022-10-20 00:00:00.000,28,11-50 SWAPS,YES,7,-9.579795267,0.0,NO STAKE,YES,DEFI MASTER
jeradok.near,2023-03-14 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
17e804cbdf18c74c5cb9b377f359c8c3664bdbb4bcaa075f4d43cba01a326399,2023-02-27 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
kiraj.near,2023-03-11 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
6f24da082863bf9207ca326eb86767904fab98d1a143fb7564dce607093aad59,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
schildburger.near,2022-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,28,161.332086947,161.332086947,+100 STAKED,YES,ONLY STAKED
gify88.near,2022-12-20 00:00:00.000,6,1-10 SWAPS,YES,17,11.866093431,11.866093431,0-100 STAKED,YES,DEFI MASTER
possible1.near,2023-03-05 00:00:00.000,1,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
lex.near,2023-03-08 00:00:00.000,5,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
freeupdate.near,2022-12-04 00:00:00.000,35,11-50 SWAPS,YES,6,-0.03113112142,0.0,NO STAKE,YES,DEFI MASTER
dayanrey.near,2023-03-08 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
0d15aab5797910eab05aa85881d87854d18fe7b1f59c9161624b91143082d241,2023-02-23 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
web3tune.near,2022-12-19 00:00:00.000,4,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
kaufman.near,2023-02-10 00:00:00.000,7,1-10 SWAPS,YES,2,224.317439298,224.317439298,+100 STAKED,YES,DEFI MASTER
uchihaminato.near,2022-11-14 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
0xbiswajit.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
near-dapps.near,2023-02-02 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
af181613.near,2023-03-05 00:00:00.000,18,11-50 SWAPS,YES,1,0.01,0.01,0-100 STAKED,YES,DEFI MASTER
neha444.near,2023-03-06 00:00:00.000,10,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
bochenn.near,2023-01-19 00:00:00.000,3,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
rexansar.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
yavash.near,2023-03-04 00:00:00.000,1,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
evangel.near,2022-12-09 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
ae2fad7126ce6e863c0d6b9546ef3b8990e1d340080a6b3ecf7fe63ed0f2c2dc,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
bullwhip.near,2022-11-14 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
vicky2599.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
5c593cdd46c4eadb3458e837770da4de74e1ae9b6aeb512a755cbcd62e99926e,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
newto.near,2023-03-05 00:00:00.000,8,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
felix_f.crowdforces.near,2023-01-17 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
076bf9316fd3247a6c06db54469fd47113c19fdb33f42ac0ae375ac8595f1d6d,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
mamayasinskix.near,2023-02-07 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
rocusan.near,2022-10-12 00:00:00.000,1,1-10 SWAPS,NO,10,15.740974796,15.740974796,0-100 STAKED,YES,DEFI MASTER
support247.near,2022-11-10 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,2,-0.01241962418,0.0,NO STAKE,NO,ONLY STAKED
bash007.near,2022-10-06 00:00:00.000,9,1-10 SWAPS,YES,1,0.1,0.1,0-100 STAKED,YES,DEFI MASTER
5bbf126ac21bbff879f53b4ad11df9296c44d61ba2750e441c660f585d4460f9,2023-02-19 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
nz3000.near,2022-10-12 00:00:00.000,87,+50 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
wonderfull23.near,2023-01-03 00:00:00.000,13,11-50 SWAPS,YES,2,-0.02185225948,0.0,NO STAKE,YES,DEFI MASTER
cobain.near,2023-03-12 00:00:00.000,2,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
grgw.near,2023-01-29 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
robbins.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
eza.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
nearprotocolua.near,2023-02-26 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
fomalhaut.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
mafadrops.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
miaonigewen.near,2023-03-08 00:00:00.000,5,1-10 SWAPS,YES,1,0.001,0.001,0-100 STAKED,YES,DEFI MASTER
sazol11.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
nemeswat.near,2023-03-05 00:00:00.000,5,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
teeboo.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
blank.near,2022-12-18 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,2,2.900232163,2.900232163,0-100 STAKED,YES,ONLY STAKED
shaliaefen.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
babylonvoice.near,2022-06-15 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
adws.near,2022-11-15 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
bitcoinsunil.near,2023-03-05 00:00:00.000,2,1-10 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
ronaldoo.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
eatre.near,2023-02-27 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
66303accbf3e6a6c71abc8bb07ba5eb01711e78346219cec9ec33d709f3a8fc7,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
akash1238.near,2023-03-05 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
tuhin70.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,49,0.00058,0.00058,0-100 STAKED,YES,ONLY STAKED
bonepoliceofficial.near,2022-11-27 00:00:00.000,715,+50 SWAPS,YES,64,-61.511033279,0.0,NO STAKE,YES,DEFI MASTER
jean13.near,2023-03-05 00:00:00.000,5,1-10 SWAPS,YES,4,-0.008023565379,0.0,NO STAKE,YES,DEFI MASTER
social-devs.near,2023-02-18 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
28ec69fcb63064912d10602cbb277b2449bc62d7485743ae866f141d07a66231,2023-02-08 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
blazedarr.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
